Number,Name,Latitude,Longitude
1,Schönbrunn Palace,48.184864,16.312241
2,Hofburg Palace,48.205826,16.36478
3,St. Stephen's Cathedral,48.208579,16.373471
4,Belvedere Palace,48.19139,16.38083
5,MuseumsQuartier,48.203505,16.358617
6,Albertina Museum,48.20417,16.36861
7,Leopold Museum,48.202818,16.359142
8,Kunsthistorisches Museum,48.203881,16.3616
9,Naturhistorisches Museum,48.205133,16.359394
10,Haus der Musik,48.204042,16.373046
11,Prater amusement park,48.2167,16.4
12,Danube Tower,48.2406,16.4094
13,Schönbrunn Gardens,48.1845,16.3122
14,Volksgarten,48.2083,16.36
15,Stadtpark,48.2044,16.3792
16,Naschmarkt,48.1994,16.3611
17,Wiener Staatsoper (Vienna State Opera),48.2036,16.3686
18,Burgtheater,48.21,16.36
19,Musikverein,48.2006,16.3722
20,Rathaus (City Hall),48.2108,16.3569
21,St. Charles's Church,48.1986,16.3725
22,Karlskirche (St. Charles' Church),48.1986,16.3725
23,Spanish Riding School,48.2082,16.3652
24,Vienna Zoo,48.1785,16.3064
25,Danube Canal,48.2125,16.3761
26,Hundertwasserhaus,48.2074,16.392
27,Belvedere 21,48.1914,16.3843
28,MUMOK (Museum of Modern Art Ludwig Foundation Vienna),48.2031,16.3595
29,ZOOM Children's Museum,48.2035,16.359
30,Technisches Museum Wien (Vienna Technical Museum),48.1901,16.306
31,Sigmund Freud Museum,48.22,16.3561
32,Jewish Museum Vienna,48.2075,16.3708
33,Augarten,48.226,16.379
34,Lainzer Tiergarten,48.17,16.23
35,Danube Island (Donauinsel),48.24,16.4
36,Wiener Würstelstand (various locations),48.2082,16.3738
37,Figlmüller (restaurant),48.2083,16.375
38,Demel (pastry shop),48.2085,16.37
39,Café Central,48.21,16.365
40,Café Sacher,48.2036,16.369
41,Zum Schwarzen Kameel (restaurant),48.209,16.3705
42,Plachutta Wollzeile (restaurant),48.208,16.377
43,Schweizerhaus (restaurant),48.2167,16.4
44,Steirereck (restaurant),48.2044,16.3792
45,Konstantin Filippou (restaurant),48.2085,16.374
46,Naschmarkt (market),48.1987,16.3611
47,Karlskirche (church),48.1986,16.3725
48,Peterskirche (church),48.2091,16.3717
49,Minoritenkirche (church),48.2105,16.3608
50,Votivkirche (church),48.2165,16.3594
51,Heuriger (various locations - wine taverns),48.25,16.32
52,Schloss Belvedere (palace),48.1914,16.3808
53,Hofburgkapelle (chapel),48.2066,16.3647
54,Dürerhaus (museum),48.2082,16.3738
55,Theater an der Wien,48.198,16.361
56,Ronacher Theater,48.206,16.374
57,Volksoper,48.23,16.35
58,Museums der Weltkulturen (Museum of World Cultures),48.2035,16.359
59,Kunsthalle Wien,48.2031,16.3595
60,Galerie Thaddaeus Ropac,48.204,16.369
61,Galerie nächst St. Stephan,48.2082,16.3738
62,MAK (Museum of Applied Arts),48.2075,16.3775
63,Az W (Architecture Center Vienna),48.2035,16.359
64,Vienna Secession,48.2,16.368
65,Otto Wagner Pavilion,48.2,16.368
66,Schönbrunn Orangery,48.185,16.312
67,Schloss Schönbrunn Gloriette,48.184,16.308
68,Praterstern,48.218,16.392
69,Donaupark,48.24,16.41
70,Lainz Castle,48.17,16.23
71,Schloss Laxenburg,48.056,16.36
72,Wachau Valley (day trip from Vienna),48.4,15.6
73,Heuriger Grinzing (wine taverns),48.25,16.32
74,Heuriger Nussdorf (wine taverns),48.26,16.34
75,Cafe Sperl,48.198,16.36
76,Cafe Landtmann,48.21,16.36
77,Hotel Bristol (bar/restaurant),48.2036,16.3686
78,Eisgreissler (ice cream),48.208,16.37
79,Bitzinger (sausage stand),48.2036,16.3686
80,Schnitzelwirt (restaurant),48.198,16.36
81,Zwölf Apostel (restaurant),48.208,16.37
82,Restaurant Steirereck im Stadtpark,48.2044,16.3792
83,Tian (vegetarian restaurant),48.208,16.37
84,Ulrich (restaurant),48.208,16.36
85,Glacis Beisl (restaurant),48.2035,16.359
86,Arsenal – Vienna’s Contemporary Art Museum,48.185,16.39
87,Bank Austria Kunstforum Wien,48.21,16.365
88,Niederösterreichisches Landesmuseum (Lower Austrian State Museum),48.31,15.6
89,Haus des Meeres (House of the Sea),48.1975,16.351
90,Madame Tussauds Vienna,48.2167,16.4
91,Wiener Riesenrad (Giant Ferris Wheel),48.2167,16.4
92,Prater Garten,48.2167,16.4
93,Remise (restaurant),48.198,16.39
94,Das Loft (restaurant),48.212,16.377
95,The Bank Brasserie & Bar,48.208,16.37
96,Mochi (Japanese Restaurant),48.214,16.39
97,Neni am Naschmarkt (restaurant),48.1987,16.3611
98,Motto am Fluss (restaurant),48.21,16.37
99,Danube Cycle Path (various sections),48.24,16.4
100,Donaupark,48.24,16.41
